Station,Year,Month,T.max
Dhaka (11111),2011,2,28.73
Dhaka (11111),2011,3,32.08
Dhaka (11111),2011,4,33.47
Dhaka (11111),2011,5,33.4
Dhaka (11111),2011,6,32.63
Dhaka (11111),2011,7,32.32
Dhaka (11111),2011,8,31.12
Dhaka (11111),2011,9,32.42
Dhaka (11111),2011,10,32.65
Dhaka (11111),2011,11,29.71
Dhaka (11111),2011,12,24.98
Dhaka (11111),2012,1,24.05
Dhaka (11111),2012,2,28.51
Dhaka (11111),2012,3,33
Dhaka (11111),2012,4,33.51
Dhaka (11111),2012,5,34.63
Dhaka (11111),2012,6,33.2
Dhaka (11111),2012,7,32.56
Dhaka (11111),2012,8,32.55
Dhaka (11111),2012,9,32.91
Dhaka (11111),2012,10,32.34
Dhaka (11111),2012,11,28.74
Dhaka (11111),2012,12,23.96
Dhaka (11111),2013,1,24.23
Dhaka (11111),2013,2,28.91
Dhaka (11111),2013,3,33.39
Dhaka (11111),2013,4,34.22
Dhaka (11111),2013,5,31.73
Dhaka (11111),2013,6,33.7
Dhaka (11111),2013,7,32.68
Dhaka (11111),2013,8,32.04
Dhaka (11111),2013,9,32.63
Dhaka (11111),2013,10,31.51
Dhaka (11111),2013,11,30.18
Dhaka (11111),2013,12,26.25
Dhaka (11111),2014,1,24.29
Dhaka (11111),2014,2,27.17
Dhaka (11111),2014,3,32.4
Dhaka (11111),2014,4,36.44
Dhaka (11111),2014,5,35.18
Dhaka (11111),2014,6,33.23
Dhaka (11111),2014,7,32.87
Dhaka (11111),2014,8,32.16
Dhaka (11111),2014,9,32.86
Dhaka (11111),2014,10,32.2
Dhaka (11111),2014,11,30.22
Dhaka (11111),2014,12,24.52
Dhaka (11111),2015,1,24.77
Dhaka (11111),2015,2,28.42
Dhaka (11111),2015,3,32.11
Dhaka (11111),2015,4,32.82
Dhaka (11111),2015,5,34.07
Dhaka (11111),2015,6,32.75
Dhaka (11111),2015,7,31.73
Dhaka (11111),2015,8,32.62
Dhaka (11111),2015,9,32.86
Dhaka (11111),2015,10,32.39
Dhaka (11111),2015,11,30.23
Dhaka (11111),2015,12,25.94
Dhaka (11111),2016,1,24.87
Dhaka (11111),2016,2,29.8
Dhaka (11111),2016,3,33.11
Dhaka (11111),2016,4,35.14
Dhaka (11111),2016,5,33.68
Dhaka (11111),2016,6,33.93
Dhaka (11111),2016,7,32.23
Dhaka (11111),2016,8,33.28
Dhaka (11111),2016,9,32.87
Dhaka (11111),2016,10,33.07
Dhaka (11111),2016,11,29.6
Dhaka (11111),2016,12,27.76
Dhaka (11111),2017,1,26.37
Dhaka (11111),2017,2,29.57
Dhaka (11111),2017,3,30.48
Dhaka (11111),2017,4,32.79
Dhaka (11111),2017,5,34.5
